VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-01-01 07:38:20,2016-01-01 07:54:09,1,7.5,-73.89059448242188,40.7470703125,1,N,-73.91971588134766,40.8280143737793,2,23.5,0.0,0.5,0.0,5.54,0.3,29.84
2,2016-01-01 07:38:28,2016-01-01 07:52:10,1,6.29,-73.94324493408203,40.77785873413085,1,N,-73.9422378540039,40.84165573120117,1,19.5,0.0,0.5,4.06,0.0,0.3,24.36
2,2016-01-01 07:38:30,2016-01-01 07:51:29,1,4.38,-73.97496795654298,40.79283905029297,1,N,-74.00360107421875,40.743518829345696,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
2,2016-01-01 07:38:49,2016-01-01 07:53:34,1,4.68,-73.98834228515625,40.73179626464844,1,N,-73.95967102050781,40.78131866455078,1,15.5,0.0,0.5,3.26,0.0,0.3,19.56
2,2016-01-01 07:38:51,2016-01-01 07:53:15,5,4.03,-74.00505828857422,40.714942932128906,1,N,-73.96871185302734,40.67493057250977,1,15.5,0.0,0.5,3.26,0.0,0.3,19.56
2,2016-01-01 07:38:53,2016-01-01 07:51:28,1,3.45,-73.94886779785155,40.71144485473633,1,N,-73.89857482910156,40.70054244995117,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
2,2016-01-01 07:38:55,2016-01-01 07:52:22,6,3.92,-73.98490905761719,40.76488876342773,1,N,-73.94920349121094,40.81278991699219,1,14.5,0.0,0.5,3.06,0.0,0.3,18.36
1,2016-01-01 07:38:56,2016-01-01 07:52:29,1,9.7,-73.83556365966798,40.7457160949707,1,N,-73.9950942993164,40.71797561645508,2,27.5,0.0,0.5,0.0,0.0,0.3,28.3
2,2016-01-01 07:38:57,2016-01-01 07:53:15,1,4.69,-73.97647094726562,40.78419876098633,1,N,-73.98448944091797,40.73302459716797,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,2016-01-01 07:39:00,2016-01-01 07:53:12,1,7.01,-73.97664642333984,40.739906311035156,1,N,-73.99732208251955,40.67956161499024,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16
1,2016-01-01 07:39:02,2016-01-01 07:51:28,1,3.4,-73.9715347290039,40.78604507446289,1,N,-73.95272064208984,40.824851989746094,1,12.5,0.0,0.5,2.65,0.0,0.3,15.95
1,2016-01-01 07:39:10,2016-01-01 07:50:06,1,1.5,-73.98928833007811,40.726417541503906,1,N,-74.00630187988281,40.73823547363281,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75
2,2016-01-01 07:39:11,2016-01-01 07:54:15,2,3.08,-73.97858428955078,40.76230239868164,1,N,-73.99812316894531,40.7404670715332,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
2,2016-01-01 07:39:21,2016-01-01 07:50:34,1,4.04,-73.95556640625,40.768718719482415,1,N,-73.92021942138672,40.76291275024415,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
